STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,3D Radar,,Visual,,,Symbolic,,,,3,Bodycentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Integrated,Mixed Reality visual search tasks.,"""3D Radar and EyeSee360 were noted for superior usability and efficient task completion.""","Task Completion Time, Head Rotation Trajectory, Mental Effort, & Usability Scores","""3D Radar: A minimap-like radar with icons and concentric circles.""",24,,,
,,EyeSee360,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,,Transition,Discover,,Single,Overlaid,Mixed Reality visual search tasks.,"""3D Radar and EyeSee360 were noted for superior usability and efficient task completion.""","Task Completion Time, Head Rotation Trajectory, Mental Effort, & Usability Scores","""EyeSee360: Elliptical view with helplines for a comprehensive field of view.""",24,,,
,,sidebARs,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Discover,,Single,Overlaid,Mixed Reality visual search tasks.,"""3D Radar and EyeSee360 were noted for superior usability and efficient task completion.""","Task Completion Time, Head Rotation Trajectory, Mental Effort, & Usability Scores","""sidebARs: Vertical bars at the screen's edges with icons indicating object placement.""",24,,,
,,Mirror Ball,,Visual,,,Characterized,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Integrated,Mixed Reality visual search tasks.,"""3D Radar and EyeSee360 were noted for superior usability and efficient task completion.""","Task Completion Time, Head Rotation Trajectory, Mental Effort, & Usability Scores","""Mirror Ball: A reflective sphere showing distorted object locations.""",24,,,
60 - Jalynn,EyeSee360: Designing a Visualization Technique for Out-of-view Objects in Head-Mounted Augmented Reality,Arrow,https://doi.org/10.1145/3131277.3132175,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Speak,,Single,Overlaid,"Primarily applied to spatial awareness in augmented reality, with potential for fields requiring peripheral object awareness.","""EyeSee360 had the lowest direction error among the tested techniques, especially with 45° helplines, which were the most effective for improving directional accuracy for horizontal and vertical placements.""","Direction Accuracy, Distance Accuracy, Subjective Workload, & Perceptibility","""Simple but less accurate; users found it less intuitive.""",19/16,,,
,,EyeSee360,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,Transition,Speak,,Single,Overlaid,"Primarily applied to spatial awareness in augmented reality, with potential for fields requiring peripheral object awareness.","""EyeSee360 had the lowest direction error among the tested techniques, especially with 45° helplines, which were the most effective for improving directional accuracy for horizontal and vertical placements.""","Direction Accuracy, Distance Accuracy, Subjective Workload, & Perceptibility","""Best direction accuracy and user feedback, though slightly higher workload.""",19/16,,,
,,Halo,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Speak,,Single,Overlaid,"Primarily applied to spatial awareness in augmented reality, with potential for fields requiring peripheral object awareness.","""EyeSee360 had the lowest direction error among the tested techniques, especially with 45° helplines, which were the most effective for improving directional accuracy for horizontal and vertical placements.""","Direction Accuracy, Distance Accuracy, Subjective Workload, & Perceptibility","""Familiar visualization but cluttered with multiple objects.""",19/16,,,
,,Wedge,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Speak,,Single,Overlaid,"Primarily applied to spatial awareness in augmented reality, with potential for fields requiring peripheral object awareness.","""EyeSee360 had the lowest direction error among the tested techniques, especially with 45° helplines, which were the most effective for improving directional accuracy for horizontal and vertical placements.""","Direction Accuracy, Distance Accuracy, Subjective Workload, & Perceptibility","""Improved over Halo by reducing clutter but less effective for high object density.""",19/16,,,
61 - Jalynn,A Visual Interaction Cue Framework from Video Game Environments for Augmented Reality,,https://doi.org/10.1145/3173574.3173714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 - Jalynn,A Comparison of Predictive Spatial Augmented Reality Cues for Procedural Tasks,Blink ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8493594,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural navigation,"""The LINE cue showed the best performance across all metrics (response time, error rate, and mental effort) in both experiments.""","Response Time, Error Rate, & Self-Assessed Mental Effort","""BLINK: Effective in drawing attention but increased mental effort and errors due to potential distraction.""",20/20,,,
,,Color,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural navigation,"""The LINE cue showed the best performance across all metrics (response time, error rate, and mental effort) in both experiments.""","Response Time, Error Rate, & Self-Assessed Mental Effort","""COLOR: Improved response times but had more mental effort compared to LINE.""",20/20,,,
,,Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Procedural navigation,"""The LINE cue showed the best performance across all metrics (response time, error rate, and mental effort) in both experiments.""","Response Time, Error Rate, & Self-Assessed Mental Effort","""ARROW: Directed attention but occasionally misled users.""",20/20,,,
,,Line,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Procedural navigation,"""The LINE cue showed the best performance across all metrics (response time, error rate, and mental effort) in both experiments.""","Response Time, Error Rate, & Self-Assessed Mental Effort","""LINE: Most effective in reducing task time, errors, and mental effort.""",20/20,,,
,,ARC,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Procedural navigation,"""The LINE cue showed the best performance across all metrics (response time, error rate, and mental effort) in both experiments.""","Response Time, Error Rate, & Self-Assessed Mental Effort","""ARC (in Experiment 2): Offered general directional guidance but was less precise than LINE.""",20/20,20 for exp 1 then 20 new participants for exp 2,,
2 - Jalynn,Effect of Visual Cues on Pointing Tasks in Co-located Augmented Reality Collaboration,Pointing Line,https://doi.org/10.1145/3485279.3485297,Visual,,,Symbolic,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,,,,Select,,Single,Integrated,"Co-located AR collaboration in educational, training, and gaming applications","""Pointing Line (PL) had a stronger effect on task performance and usability, providing a more intuitive approach for users to identify targets quickly and accurately.""","Completion Time, Accuracy Rate, Social Presence, Usability, & User Preference","""Pros: Higher task efficiency, accuracy, and usability, especially in dynamic scenarios with medium-density objects. Cons: Lower social presence than MT, as it did not emphasize user connection. Implication: Suitable for scenarios prioritizing task efficiency and usability.""",32,,,
,,Moving Track,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,,Position,Proximity,,Movement,Select,,Single,Integrated,"Co-located AR collaboration in educational, training, and gaming applications","""Pointing Line (PL) had a stronger effect on task performance and usability, providing a more intuitive approach for users to identify targets quickly and accurately.""","Completion Time, Accuracy Rate, Social Presence, Usability, & User Preference","""Pros: Enhanced social presence, especially in dynamic and high-density scenarios, due to its trailing effect. Cons: Lower accuracy and longer task completion times compared to PL. Implication: Recommended for applications where user connection and shared experience are prioritized over task speed.""",32,,,
3 - Jalynn,Exploring the Effect of visual Cues on Eye Gaze During AR-Guided Picking and Assembly Tasks,Within FOV: Highlighting Box,https://doi.org/10.1109/ISMAR-Adjunct54149.2021.00041,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Highlighting Box was extremely effective for indicating targets. It provided a strong, immediate visual cue that minimized search time and increased fixation rates. This cue was well-suited for tasks that required precise and immediate attention to specific objects.""",12,,,
,,Outside FOV: Inview Arrow,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Inview Arrow was useful for directing attention to off-screen targets, providing a subtle but clear indication of the general direction. However, it could be less effective in guiding users quickly compared to more prominent, attention-grabbing cues.""",12,,,
,,Within FOV: Flying Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Flying Arrow within FOV provided clear directional guidance and successfully captured user attention, but it required users to engage cognitively to interpret the direction. It was particularly effective when guiding users to moving or less obvious targets.""",12,,,
,,Outside FOV: Flying Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Flying Arrow outside FOV was highly dynamic and effective in directing attention to off-screen targets. It required more cognitive effort from the user but successfully facilitated quick and accurate redirection of gaze, especially when precision was necessary.""",12,,,
,,Combined: Flying Arrow,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Flying Arrow outside FOV was highly dynamic and effective in directing attention to off-screen targets. It required more cognitive effort from the user but successfully facilitated quick and accurate redirection of gaze, especially when precision was necessary.""",12,,,
,,Within FOV: Fixed Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Fixed Arrow within FOV was straightforward and effective for indicating stationary targets. However, it lacked the saliency and attention-grabbing ability of dynamic cues, making it less effective when multiple visual elements competed for attention.""",12,,,
,,Outside FOV: Wedge,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Operate,,Single,Overlaid,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Wedge cue had limited effectiveness when used for off-screen targets, as it struggled with visual clutter and could be hard to interpret. It performed poorly in guiding users to precise locations compared to other cues, particularly in scenarios with multiple targets.",12,,,
,,Outside FOV: Halo,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Operate,,Single,Overlaid,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Halo cue was helpful in visualizing off-screen targets and was effective for indicating direction. However, it became less efficient when there were multiple off-screen targets close together, as visual clutter could reduce its usability.""",12,,,
,,Within FOV: Bouncing Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Assembly with Target Screws/Nuts/Washers,"""Highlighting Boxes elicited the strongest response, with the highest number of fixations and faster time to first fixation (TTFF) on target objects.""","Gaze Distribution, Gaze Duration, Time to First Fixation on a Target, & Scanpath Metrics","""The Bouncing Arrow was highly noticeable due to its motion and successfully drew attention to targets. While effective for quick visual guidance, it risked being distracting if used excessively or in a cluttered environment.""",12,,,
4 - Jalynn,Investigating the Use of Different Visual Cues to Improve Social Presence within a 360 Mixed Reality Remote Collaboration,Study 1& 2: Hand Gestures Only,https://doi.org/10.1145/3359997.3365687,Visual,,,Captured,,,,3,Proprioceptive - Egocentric,,,Persistent,,Position,,,Other,Operate,,Single,Integrated,"Remote collaboration, focused on tasks like arranging objects on a shelf","""The Pointer (Ray Pointing) had significant effects on Social Presence and reduced mental effort in Study B, particularly for the local user role""","Social Presence, Spatial Presence, & Mental Effort","""Hand Gestures: Felt natural for communication but sometimes distracting.""",32/8/9,3 Studies,,
,,Study 1: Pointer Only,,Visual,,,Symbolic,,,,3,Exocentric,Proprioceptive - Egocentric,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,"Remote collaboration, focused on tasks like arranging objects on a shelf","""The Pointer (Ray Pointing) had significant effects on Social Presence and reduced mental effort in Study B, particularly for the local user role""","Social Presence, Spatial Presence, & Mental Effort","""Pointer: Preferred for its simplicity and precision, especially when time was critical.""",32/8/9,,,
,,Study 2: Hand and Visual Annotation (Drawing),,Visual,,,Symbolic,,,,3,Exocentric,,,Context,,Position,,,,Operate,,Single,Integrated,"Remote collaboration, focused on tasks like arranging objects on a shelf","""The Pointer (Ray Pointing) had significant effects on Social Presence and reduced mental effort in Study B, particularly for the local user role""","Social Presence, Spatial Presence, & Mental Effort","""Drawing: Helpful for highlighting details and precise object identification but slower.""",32/8/9,,,
,,Study 1&2: View Arrow & View Frame,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Operate,,Single,Overlaid,"Remote collaboration, focused on tasks like arranging objects on a shelf","""The Pointer (Ray Pointing) had significant effects on Social Presence and reduced mental effort in Study B, particularly for the local user role""","Social Presence, Spatial Presence, & Mental Effort","""View Arrow: The View Arrow was a crucial aid that helped participants locate the View Frame when it was out of sight. In both studies, the arrow's ability to point toward the View Frame reduced the time and effort needed to reorient to their partner’s perspective. Participants found this feature especially helpful, as it became larger the farther away the View Frame was, providing an intuitive sense of distance. However, some participants mentioned that while it was useful, it could still contribute to visual clutter in the limited AR display space.""",32/8/9,,,
5 - Jalynn,A Comparison of Spatial Augmented Reality Predictive Cues and their Effects on Sleep Deprived Users,Blink ,https://doi.org/10.1109/VR51125.2022.00079,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural task assistance,"LINE: Outperformed other cues in terms of response time, error rate, and mental effort, particularly under fatigue.","Response Time, Error Rate, & Self-Rated Mental Effort","Predictive cues improve task performance compared to no cues, even under sleep deprivation.",23,23 recruited 21 completed and analyzed,,
,,Color,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural task assistance,"LINE: Outperformed other cues in terms of response time, error rate, and mental effort, particularly under fatigue.","Response Time, Error Rate, & Self-Rated Mental Effort","Predictive cues improve task performance compared to no cues, even under sleep deprivation.",23,,,
,,Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Procedural task assistance,"LINE: Outperformed other cues in terms of response time, error rate, and mental effort, particularly under fatigue.","Response Time, Error Rate, & Self-Rated Mental Effort","Predictive cues improve task performance compared to no cues, even under sleep deprivation.",23,,,
,,Line,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Procedural task assistance,"LINE: Outperformed other cues in terms of response time, error rate, and mental effort, particularly under fatigue.","Response Time, Error Rate, & Self-Rated Mental Effort",LINE provided the most consistent performance and required the least cognitive load.,23,,,
,,ARC,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Operate,,Single,Integrated,Procedural task assistance,"LINE: Outperformed other cues in terms of response time, error rate, and mental effort, particularly under fatigue.","Response Time, Error Rate, & Self-Rated Mental Effort","Predictive cues improve task performance compared to no cues, even under sleep deprivation.",23,,,
6 - Jalynn,Depth Cues For Augmented Reality Stakeout,Cast Shadow,https://doi.org/10.1145/1152760.1152775,Visual,,,Replica,,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Emphasized,AR Stakeout,Cast Circle: Rated as the best-performing cue for ease of use and efficiency.,"Task Completion Time, Displacement Error, NASA-TLX","Familiar but occasionally perceived as ""separate objects""; dependent on virtual light source positioning.",10,,,
,,Cast Circle,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Emphasized,AR Stakeout,Cast Circle: Rated as the best-performing cue for ease of use and efficiency.,"Task Completion Time, Displacement Error, NASA-TLX","Clear, precise, and intuitive; participants preferred its feedback over other cues.",10,,,
,,Dropline,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,AR Stakeout,Cast Circle: Rated as the best-performing cue for ease of use and efficiency.,"Task Completion Time, Displacement Error, NASA-TLX",Provided vertical alignment but sometimes deemed distracting at steep angles.,10,,,
,,Number,,Visual,,,Alphanumeric,,,,2,Headcentric - Egocentric,,,Persistent,,,Proximity,,,Operate,,Single,Overlaid,AR Stakeout,Cast Circle: Rated as the best-performing cue for ease of use and efficiency.,"Task Completion Time, Displacement Error, NASA-TLX","Least preferred; numbers changed too rapidly, making interpretation difficult.",10,,,
7 - Jalynn,Using Multi-Level Precueing to Improve Performance in Path-Following Tasks in Virtual Reality,ArrowLine,https://doi.org/10.1109/tvcg.2021.3106476,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,Other,Select,,Single,Integrated,"Virtual reality path-following tasks, applicable to navigation and training scenarios.",CircleLine consistently yielded the best results in terms of performance (completion time) and user preference. It was rated as the least mentally and physically demanding visualization style.,Completion Time & NASA-TLX,"""Beneficial for combining directional and path information but not as preferred as CircleLine.""",17,,,
,,Arrows  ,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Select,,Single,Integrated,"Virtual reality path-following tasks, applicable to navigation and training scenarios.",CircleLine consistently yielded the best results in terms of performance (completion time) and user preference. It was rated as the least mentally and physically demanding visualization style.,Completion Time & NASA-TLX,"""Highlighted the importance of direction but lacked the added clarity provided by path indicators.""",17,,,
,,CircleLine,,Visual,,,Symbolic,Emphatic,,,3,Exocentric,,,Persistent,,Position,,,Other,Select,,Single,Integrated,"Virtual reality path-following tasks, applicable to navigation and training scenarios.",CircleLine consistently yielded the best results in terms of performance (completion time) and user preference. It was rated as the least mentally and physically demanding visualization style.,Completion Time & NASA-TLX,"""Best overall in balancing clarity, effort, and user satisfaction.""",17,"""We use the term cueing to refer to providing information (cues) about the current step immediately prior to or during its performance. In contrast, we use the term precueing to refer to providing information (precues) in advance about future steps.""",,
,,Circles ,,Visual,,,Symbolic,Emphatic,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,"Virtual reality path-following tasks, applicable to navigation and training scenarios.",CircleLine consistently yielded the best results in terms of performance (completion time) and user preference. It was rated as the least mentally and physically demanding visualization style.,Completion Time & NASA-TLX,"""Simple but less effective without directional information.""",17,,,
,,Lines,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,,,Other,Select,,Single,Integrated,"Virtual reality path-following tasks, applicable to navigation and training scenarios.",CircleLine consistently yielded the best results in terms of performance (completion time) and user preference. It was rated as the least mentally and physically demanding visualization style.,Completion Time & NASA-TLX,"""Effective for path-following but less intuitive compared to CircleLine.""",17,,,
9 - Jalynn,An Initial Exploration of Visual Cues in Head-Mounted Display Augmented Reality for Book Searching,Visual Green Blob,https://doi.org/10.1145/3568444.3570600,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Select,,Single,Integrated,The context is searching for books in a library environment.,The light-green blob significantly improved performance compared to the control group without cues.,Completion Time & NASA-TLX,"""The visual cue (light-green blob) reduced task completion time by over 50%. It also significantly lowered cognitive workload, particularly in terms of physical demand and perceived task performance. Participants noted that the visual cue improved accuracy and confidence in locating books.""",8,,,
10 - Jalynn,Enhancing First-Person View Task Instruction Videos with Augmented Reality Cues,Arrow,https://doi.org/10.1109/ISMAR50242.2020.00078,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,Proximity,,,Look,,Single,Integrated,Task guidance (office and room-scale tasks),"Red Circle: ""Participants consistently reported that glowing markers made it easier to locate relevant objects and follow instructions effectively.""","Task Completion Time, Task Accuracy, Angular Difference, Frequency of Pause and Rewinds, SUS, SEQ, SMEQ, and Likert-Scale ratings","""White Circle: Effective in guiding attention within the user’s field of view. Reduced mental effort and improved usability. Arrow: Assisted in discovering out-of-view targets. Reduced the need for frequent rewinds and pauses.""",18,,,
,,White Focus Circle,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,,Position,,,,Look,,Single,Integrated,Task guidance (office and room-scale tasks),"Red Circle: ""Participants consistently reported that glowing markers made it easier to locate relevant objects and follow instructions effectively.""","Task Completion Time, Task Accuracy, Angular Difference, Frequency of Pause and Rewinds, SUS, SEQ, SMEQ, and Likert-Scale ratings","""White Circle: Effective in guiding attention within the user’s field of view. Reduced mental effort and improved usability. Arrow: Assisted in discovering out-of-view targets. Reduced the need for frequent rewinds and pauses.""",18,,,
,,Red Marker Circle w/ Glow,,Visual,,,Symbolic,,,,3,Exocentric,,,Context,,Position,,,,Look,,Single,Integrated,Task guidance (office and room-scale tasks),"Red Circle: ""Participants consistently reported that glowing markers made it easier to locate relevant objects and follow instructions effectively.""","Task Completion Time, Task Accuracy, Angular Difference, Frequency of Pause and Rewinds, SUS, SEQ, SMEQ, and Likert-Scale ratings","""Red Circle: Highly effective in identifying task-critical objects. Contributed significantly to reducing errors. Glowing Red Circle: Enhanced visibility of the most recent marker, improving task continuity. Reduced time spent searching for task-critical points.""",18,,,
11 - Jalynn,See or Hear? Exploring the Effect of Visual and Audio Hints and Gaze-assisted Task Feedback for Visual Search Tasks in Augmented Reality,Instant post-task feedback of gaze,https://doi.org/10.48550/arXiv.2302.01690,Visual,,,Captured,,,,2,eyecentric,,,Context,,Position,,,Movement,Speak,,Single,Overlaid,Visual Search in AR (Book-searching task),"""Combined Hint (Visual + Audio) showed the strongest task performance improvement in Study II, where participants received instant post-task feedback. In Study II, participants in the Combined Group had significantly shorter Task Completion Times (TCT) and lower NASA TLX (Workload) compared to the audio-only or visual-only groups.""",Task Completion Time & NASA-TLX,Enabled participants to reflect on gaze trajectories and improve performance in the second task. Critique: Some users found the dot's movement too quick to follow.,48/48,,,
,,Purple arrow,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,,,,,Speak,,Single,Overlaid,Visual Search in AR (Book-searching task),"""Combined Hint (Visual + Audio) showed the strongest task performance improvement in Study II, where participants received instant post-task feedback. In Study II, participants in the Combined Group had significantly shorter Task Completion Times (TCT) and lower NASA TLX (Workload) compared to the audio-only or visual-only groups.""",Task Completion Time & NASA-TLX,Reduced task time and perceived workload. Participants praised its clarity but suggested better placement (closer to the center of view).,48/48,,,
,,Audio hints,,Auditory,,,Captured,,,,,Headcentric - Egocentric,,,Context,,,,,Other,Speak,,Single,Integrated,Visual Search in AR (Book-searching task),"""Combined Hint (Visual + Audio) showed the strongest task performance improvement in Study II, where participants received instant post-task feedback. In Study II, participants in the Combined Group had significantly shorter Task Completion Times (TCT) and lower NASA TLX (Workload) compared to the audio-only or visual-only groups.""",Task Completion Time & NASA-TLX,Significantly reduced task time and workload. Participants found it clear but desired a follow-up reminder.,48/48,,,
12 - Jalynn,In-Situ Instructions Exceed Side-by-Side Instructions in Augmented Reality Assisted Assembly,3D in-situ,https://doi.org/10.1145/3197768.3197778,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial assembly tasks,"3D in-situ for shortest completion time, lowest error rate, and reported as NASA-TLX least demanding","Task Completion Time, Error Rate, NASA-TLX, and Subjective Preferences","""Fastest and most accurate.Low task load and user-preferred for speed and overall performance. Effective occlusion handling enhanced clarity​""",24,,,
,,2D in-situ,,Visual,,,Characterized,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial assembly tasks,"3D in-situ for shortest completion time, lowest error rate, and reported as NASA-TLX least demanding","Task Completion Time, Error Rate, NASA-TLX, and Subjective Preferences","""Slower and less accurate than 3D. Higher task load, likely due to difficulty disambiguating 3D positions using 2D projections​""",24,,,
,,3D wire,,Visual,,,Characterized,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial assembly tasks,"3D in-situ for shortest completion time, lowest error rate, and reported as NASA-TLX least demanding","Task Completion Time, Error Rate, NASA-TLX, and Subjective Preferences","""Moderate performance in speed and accuracy. Slightly higher errors and task load due to potential misinterpretation of the animation​""",24,,,
,,side-by-side,,Visual,,,Replica,Symbolic,,,3,Exocentric,,,Persistent,,Position,,,Other,Manipulate,,Single,Integrated,Industrial assembly tasks,"3D in-situ for shortest completion time, lowest error rate, and reported as NASA-TLX least demanding","Task Completion Time, Error Rate, NASA-TLX, and Subjective Preferences","""Worst performance in speed, accuracy, and task load. Despite poor objective results, some participants preferred this approach for perceived accuracy""",24,,,
13 - Jalynn,Augmented Reality Training for Assembly and Maintenance Skills,,https://doi.org/10.1051/bioconf/20110100097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 - Jalynn,Use of projector based augmented reality to improve manual spot-welding precision and accuracy for automotive manufacturing,Circle,https://doi.org/10.1007/s00170-016-9164-5,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
,,Circle + Inner Circle,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
,,Cross + Clear Middle,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
,,While Color + Colored Cross,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
,,Cross  ,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Welding in specific positions,The circle with bullseye (i) was finalized due to its minimalistic approach and significant improvements in precision and accuracy.,"Accuracy, Completion Time, Error Rate & Precision","Complex designs (e.g., crosses, arrows, textured cues) were found to be less effective.",8,,,
